PubChem_CID	name	iupac_name	inchi_key	References	ototoxicity_sum	abs_sum	score	class
19	2,3-dihydroxybenzoic acid	2,3-dihydroxybenzoic acid	GLDQAMYCGOIJDV-UHFFFAOYSA-N	15672440	-1	1	-0.0084217618325753	otoprotective
72	3,4-dihydroxybenzoic acid	3,4-dihydroxybenzoic acid	YQUVCSBJEUQKSH-UHFFFAOYSA-N	41626471	-1	1	-0.0084217618325753	otoprotective
144	5-hydroxytryptophan	2-amino-3-(5-hydroxy-1H-indol-3-yl)propanoic acid	LDCYZAJDBXYCGN-UHFFFAOYSA-N	29457627, 8791035	2	2	0.0168435236651507	ototoxic
176	Acetic acid	acetic acid	QTBSBXVTEAMEQO-UHFFFAOYSA-N	40524094, 26666456, 2596625, 2495509, 3228184	5	5	0.0421088091628769	ototoxic
177	Acetaldehyde	acetaldehyde	IKHGUXGNUITLKF-UHFFFAOYSA-N	15451041	1	1	0.0084217618325753	ototoxic
180	Acetone	propan-2-one	CSCPPACGZOOCGX-UHFFFAOYSA-N	17878057, 12194157, 8135438	1	3	0.0084217618325753	ototoxic
187	Acetylcholine	2-acetyloxyethyl(trimethyl)azanium	OIPILFWXSMYKGL-UHFFFAOYSA-N	35131339	1	1	0.0084217618325753	ototoxic
199	Agmatine	2-(4-aminobutyl)guanidine	QYPPJABKJHAVHS-UHFFFAOYSA-N	35256453	-1	1	-0.0084217618325753	otoprotective
241	Benzene	benzene	UHOVQNZJYSORNB-UHFFFAOYSA-N	38535923, 12194157	2	2	0.0168435236651507	ototoxic
271	Calcium ion	calcium(2+)	BHPQYMZQTOCNFJ-UHFFFAOYSA-N	40983186, 24005042, 7142042	-3	3	-0.0252652854977261	otoprotective
276	Carbamate	carbamate	KXDHJXZQYSOELW-UHFFFAOYSA-M	16913456	1	1	0.0084217618325753	ototoxic
281	Carbon monoxide	carbon monoxide	UGFAIRIUMAVXCW-UHFFFAOYSA-N	37344936, 26993631, 22728796, 16009649, 15192865, 12678928, 14635218, 11744287, 11348833, 10964763, 9007033, 9284647, 9363369, 3583935	12	14	0.101061141990905	ototoxic
