PMID	DOI	Title	Year	PublicationTypes
42068011	10.1080/10717544.2026.2665892	Local application of otoprotective compounds other than sodium thiosulfate to prevent cisplatin-induced hearing loss: a systematic review.	2026	Journal Article
41822402	NA	Replacing Bacitracin With Vancomycin in Adams Triple Antibiotic Solution for Irrigation in Breast Implant Reconstruction: A Retrospective Review of 277 Reconstructions.	2026	Journal Article
40324146	10.1200/JCO-24-01861	Development and Validation of a Novel Prediction Model for Hearing Loss From Cisplatin Chemotherapy.	2026	Journal Article
40484407	10.1002/14651858.CD013051.pub3	Topical antibiotics for chronic suppurative otitis media.	2026	Journal Article
40484405	10.1002/14651858.CD013052.pub3	Systemic antibiotics for chronic suppurative otitis media.	2026	Journal Article
40484402	10.1002/14651858.CD013053.pub3	Topical versus systemic antibiotics for chronic suppurative otitis media.	2026	Comparative Study
37728555	10.1080/17425255.2023.2260737	Effects of natural products on cisplatin ototoxicity and chemotherapeutic efficacy.	2026	Journal Article
42122264	10.3390/cancers18091468	Itraconazole in the Treatment of Aberrantly Active Hedgehog and/or PI3K Recurrent Ovarian Cancer.	2026	Journal Article
39450527	10.1080/14740338.2024.2416926	Adverse events associated with carbamazepine: a pharmacovigilance study using the FDA Adverse Event Reporting System.	2026	Journal Article
41845253	10.1186/s12887-026-06698-6	Severe, late-onset neutropenia associated with prolonged furosemide administration in an extremely preterm infant: a case report and literature review.	2026	Journal Article
41940042	10.1016/j.crtox.2026.100292	An integration of physiological, morphological and biochemical assessments in studying guinea pig models of ototoxicity and otoprotection-a systematic review.	2026	Journal Article
41959016	10.64898/2026.03.10.710901	Immune response to spiral ganglion neuron death in rats during development and after kanamycin-induced deafening.	2026	Journal Article
41821356	10.1002/chem.202600019	RG108-Conjugated Platinum(IV) Prodrugs: Enhanced Efficacy and Reduced Ototoxicity.	2026	Journal Article
41978855	10.26574/maedica.2026.21.1.190	Hearing Loss in Systemic Lupus Erythematosus: a Systematic Review.	2026	Journal Article
41886707	10.1200/CCI-25-00326	Use of Electronic Health Records to Benchmark Clinical Practice Guideline-Consistent Care in Pediatric Oncology.	2026	Journal Article
41701159	10.1096/fj.202502888RR	Unraveling Endocannabinoid Signaling Pathways in Cisplatin-Induced Ototoxicity.	2026	Journal Article
41656738	10.1021/acsnano.5c19608	Dynamic Simulation Assists Insights into the Deafness Prevention of a Self-Assembly Pd Nanozyme with Intrinsic Targeting.	2026	Journal Article
41221722	10.1080/01480545.2025.2575077	Pharmacological synergistic multi-target of <i>Curcuma longa</i> compounds to minimise the ototoxic effects and resistance of cisplatin in ovarian cancer treatment: integration of bibliometric analysis, pharmacological networking, and molecular docking approaches.	2026	Journal Article
41637682	10.1200/OP-25-00913	<i>TPMT</i>-Cisplatin: Lessons in Citation Integrity and Scientific Oversight.	2026	Journal Article
41705485	10.1002/adbi.202500580	Notoginsenoside R1 as a Protector Against Gentamicin Ototoxicity: Targeting p62-NRF2-GPX4 Ferroptosis Axis.	2026	Journal Article
41502327	10.1097/WCO.0000000000001442	Multimodal biomarker landscape in vestibular schwannoma.	2026	Journal Article
41666086	10.1080/00016489.2025.2600090	Effect of intratympanic N-acetylcystein (NAC) on vestibulotoxicity model formed with intratympanic gentamicin in Guinea pigs.	2026	Journal Article
41707693	10.1055/a-2815-2484	Evaluation of Long-Term Late Side Effects in High-Risk Neuroblastoma Patients Undergoing Autologous Bone Marrow Transplantation.	2026	Journal Article
41691861	10.1016/j.heares.2026.109572	Circadian control of the peripheral vestibular organs in rodents and humans.	2026	Journal Article
41818121	10.59556/japi.74.1397	Unilateral Facial and Vestibulocochlear Nerve Palsy: A Case Report of a Rare Adverse Effect of Warfarin Therapy.	2026	Journal Article
41496479	10.4274/balkanmedj.galenos.2025.2025-10-205	Comparison of Tocolytic Agents for Successful External Cephalic Version: A Bayesian Network Meta-Analysis of Sixteen Randomized Controlled Trials.	2026	Journal Article
41090493	10.1002/14651858.CD015046.pub2	Pharmacological and non-pharmacological treatments for impulsive-compulsive behaviors in Parkinson's disease.	2026	Journal Article
41948013	10.3389/fpubh.2026.1780308	Research on daily medication and drug efficacy evaluation for chronic diseases based on natural language processing (NLP).	2026	Journal Article
41928525	10.1111/nmo.70309	Efficacy and Safety of Domperidone for Patients With Symptoms of Gastroparesis; Long-Term Results.	2026	Journal Article
39412590	10.1080/14740338.2024.2418319	A real-world adverse events study of rimegepant from the FAERS database.	2026	Journal Article
42005174	10.7759/cureus.105374	Severe Hyponatremia Following Nitrofurantoin Therapy: A Case of Suspected Syndrome of Inappropriate Antidiuretic Hormone Secretion (SIADH).	2026	Case Reports
41511044	10.2478/immunohematology-2025-016	Cephalosporin-induced hemolytic anemia: a case study.	2026	Case Reports
41891807	10.5080/u27751	Treatment of Comorbid Schizophrenia in an Adolescent with Osteogenesis Imperfecta: A Case Report.	2026	Case Reports
41583689	10.1177/02537176251415001	Efficacy of Oral Ketamine in Patients with Depression and Suicidality: A Retrospective Study.	2026	Journal Article
41878359	10.4314/mmj.v37i4.7	Barriers and Enablers to All-Oral Multi-Drug Resistance Tuberculosis Treatment Adherence in Traditional Authorities Chimwala and Chowe, Mangochi District, Malawi.	2026	Journal Article
42017113	10.7759/cureus.105589	A Rare Case of Disseminated Mycobacterium avium Complex Disease in a Patient Living With HIV Presenting With Endobronchial Lesions.	2026	Case Reports
42121878	10.3390/cells15090777	The Use of Primary Spiral Ganglion Cells in Studying Glutamate Receptor Function and Excitotoxicity in the Cochlea.	2026	Journal Article
41940636	10.1097/AUD.0000000000001818	Intratympanic Dexamethasone Efficacy in Preventing Cisplatin-induced Tinnitus: A Randomized Controlled Phase IIIB Clinical Trial.	2026	Journal Article
41771417	10.1016/j.neuroscience.2026.02.046	Inner ear transplantation of cochlear progenitor cells restores acute sensorineural hearing loss.	2026	Journal Article
41943511	10.1002/1545-5017.70287	Evaluation of a New, Community-Based Screening Program to Detect Hearing Loss in Adult Childhood Cancer Survivors in Switzerland: Findings From the HEAR Study.	2026	Journal Article
42003090	10.1002/jcph.70186	Population Pharmacokinetics and Exposure-Safety Analysis of Furosemide in Preterm Infants.	2026	Journal Article
42068692	10.1016/j.ijporl.2026.112837	Subclinical high-frequency cochlear dysfunction in adolescents with β-thalassemia major: A distortion product otoacoustic emission study.	2026	Journal Article
42121870	10.3390/cells15090769	Rediscovering the Gut-Mito-Ear Axis: A Systems-Biology Framework for Ototoxic Vulnerability and Microbiome-Targeted Prevention.	2026	Journal Article
42081679	10.1097/NHH.0000000000001430	Early Detection of Ototoxicity in Home Healthcare.	2026	Journal Article
42108051	10.1016/j.aca.2026.345491	Z-scheme WO<sub>3</sub>/CdS heterojunction-synergized molecularly imprinted photoelectrochemical sensor for ultrasensitive and highly selective detection of gentamicin.	2026	Journal Article
42121973	10.3390/diagnostics16091272	Ototoxicity Associated with Antineoplastic Agents in the Pediatric Population: An Evidence-Based Review of Auditory Monitoring Strategies and Contemporary Diagnostic Frameworks-Narrative Review.	2026	Journal Article
42034301	10.1016/j.radonc.2026.111550	Sensorineural hearing outcomes in HPV-positive oropharyngeal cancer: a secondary analysis of the TROG 12.01 randomized trial (SHOUT).	2026	Journal Article
41490376	10.1080/07853890.2025.2611464	Advances in the clinical applications of sodium thiosulphate.	2026	Journal Article
41990879	10.1016/j.neuro.2026.103451	Astragaloside IV attenuates cisplatin-induced ototoxicity by preserving mitochondrial function and activating the Nrf2 signaling pathway.	2026	Journal Article
