Target.Name	prot_name	UniProt..SwissProt..Primary.ID.of.Target.Chain	PubChem_CID	variable	value
Solute carrier family 22 member 1	S22A1	O15245	199	Ki 	24000000.0
Beta-2 adrenergic receptor	ADRB2	P07550	241	Ki 	490.0
Beta-2 adrenergic receptor	ADRB2	P07550	241	Ki 	10000.0
Beta-2 adrenergic receptor	ADRB2	P07550	241	Ki 	10000.0
Beta-2 adrenergic receptor	ADRB2	P07550	241	Ki 	10000.0
Beta-2 adrenergic receptor	ADRB2	P07550	241	Ki 	10000.0
Solute carrier family 22 member 8	S22A8	Q8TCC7	338	Ki 	1020000.0
Carbonic anhydrase 3	CAH3	P07451	338	Ki 	885000.0
Albumin	ALBU	P02768	338	Ki 	5880.0
Carbonic anhydrase 2	CAH2	P00918	338	Ki 	7100.0
Prostaglandin G/H synthase 2	PGH2	P35354	338	Ki 	10000.0
Amyloid-beta precursor protein	A4	P05067	338	Ki 	1800.0
Carbonic anhydrase 2	CAH2	P00918	338	Ki 	7100.0
Carbonic anhydrase 1	CAH1	P00915	338	Ki 	9900.0
Carbonic anhydrase 4	CAH4	P22748	338	Ki 	11100.0
Carbonic anhydrase 9	CAH9	Q16790	338	Ki 	78700.0
Carbonic anhydrase 2	CAH2	P00918	338	Ki 	7120.0
Carbonic anhydrase 2	CAH2	P00918	338	Ki 	740000.0
Carbonic anhydrase 5A, mitochondrial	CAH5A	P35218	338	Ki 	678000.0
Carbonic anhydrase 1	CAH1	P00915	338	Ki 	9920.0
Carbonic anhydrase 5B, mitochondrial	CAH5B	Q9Y2D0	338	Ki 	355000.0
Carbonic anhydrase 12	CAH12	O43570	338	Ki 	8800.0
Carbonic anhydrase 7	CAH7	P43166	338	Ki 	82100.0
Carbonic anhydrase 1	CAH1	P00915	338	Ki 	9900.0
Carbonic anhydrase 1	CAH1	P00915	338	Ki 	620000.0
Tyrosine-protein phosphatase non-receptor type 1	PTN1	P18031	338	Ki 	19400000.0
Carbonic anhydrase 14	CAH14	Q9ULX7	338	Ki 	49800.0
Carbonic anhydrase 9	CAH9	Q16790	338	Ki 	78700.0
Carbonic anhydrase 4	CAH4	P22748	370	Ki 	9800.0
Carbonic anhydrase 1	CAH1	P00915	370	Ki 	1052000.0
Carbonic anhydrase 1	CAH1	P00915	370	Ki 	3200.0
Carbonic anhydrase 2	CAH2	P00918	370	Ki 	758000.0
Carbonic anhydrase 5A, mitochondrial	CAH5A	P35218	370	Ki 	4080.0
Carbonic anhydrase 5B, mitochondrial	CAH5B	Q9Y2D0	370	Ki 	9970.0
Carbonic anhydrase 2	CAH2	P00918	370	Ki 	2250.0
Carbonic anhydrase 3	CAH3	P07451	370	Ki 	7490.0
Carbonic anhydrase 7	CAH7	P43166	370	Ki 	6070.0
Carbonic anhydrase 9	CAH9	Q16790	370	Ki 	6990.0
Carbonic anhydrase 14	CAH14	Q9ULX7	370	Ki 	7030.0
Carbonic anhydrase 12	CAH12	O43570	370	Ki 	7780.0
Sodium-dependent dopamine transporter	SC6A3	Q01959	444	Ki 	871.0
Alpha-1A adrenergic receptor	ADA1A	P35348	444	Ki 	4200.0
Sodium-dependent dopamine transporter	SC6A3	Q01959	444	Ki 	560.0
Sodium-dependent dopamine transporter	SC6A3	Q01959	444	Ki 	784.0
Sodium-dependent noradrenaline transporter	SC6A2	P23975	444	Ki 	10000.0
Sodium-dependent serotonin transporter	SC6A4	P31645	444	Ki 	10000.0
Sodium-dependent noradrenaline transporter	SC6A2	P23975	444	Ki 	6970.0
Sodium-dependent dopamine transporter	SC6A3	Q01959	444	Ki 	950.0
Muscarinic acetylcholine receptor M5	ACM5	P08912	444	Ki 	10000.0
Sodium-dependent dopamine transporter	SC6A3	Q01959	444	Ki 	441.0
Sodium-dependent serotonin transporter	SC6A4	P31645	444	Ki 	13311.0
Sodium-dependent serotonin transporter	SC6A4	P31645	444	Ki 	9100.0
Muscarinic acetylcholine receptor M3	ACM3	P20309	444	Ki 	10000.0
Sodium-dependent noradrenaline transporter	SC6A2	P23975	444	Ki 	3642.0
Sodium-dependent dopamine transporter	SC6A3	Q01959	444	Ki 	520.0
Sodium-dependent dopamine transporter	SC6A3	Q01959	444	Ki 	1800.0
5-hydroxytryptamine receptor 2C	5HT2C	P28335	444	Ki 	10000.0
Sodium-dependent dopamine transporter	SC6A3	Q01959	444	Ki 	173.0
Sodium-dependent serotonin transporter	SC6A4	P31645	444	Ki 	10000.0
Sodium-dependent noradrenaline transporter	SC6A2	P23975	444	Ki 	10000.0
Histamine H1 receptor	HRH1	P35367	444	Ki 	10000.0
D(2) dopamine receptor	DRD2	P14416	444	Ki 	10000.0
Sodium-dependent dopamine transporter	SC6A3	Q01959	444	Ki 	562.0
Proton-coupled amino acid transporter 1	S36A1	Q7Z2H8	586	Ki 	3200000.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	572.0
D(4) dopamine receptor	DRD4	P21917	681	Ki 	407.0
Sodium-dependent dopamine transporter	SC6A3	Q01959	681	Ki 	5300.0
D(4) dopamine receptor	DRD4	P21917	681	Ki 	3310.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	42.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	2.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	871.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	1900.0
D(4) dopamine receptor	DRD4	P21917	681	Ki 	1.2
D(4) dopamine receptor	DRD4	P21917	681	Ki 	62.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	56.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	260.0
Trace amine-associated receptor 1	TAAR1	Q96RJ0	681	Ki 	422.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	190.0
D(4) dopamine receptor	DRD4	P21917	681	Ki 	97.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	11600.0
