Target.Name	prot_name	UniProt..SwissProt..Primary.ID.of.Target.Chain	name	compound_count
1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial	CP24A	Q07973	['ketoconazole']	1
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3	PLCB3	Q01970	['CEFIXIME']	1
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 [1-999,I813T]	PLCG1	P19174	['CEFIXIME']	1
11-beta-hydroxysteroid dehydrogenase 1	DHI1	P28845	['(-)-Epigallocatechin gallate', 'curcumin', 'Ursolic acid', 'furosemide', 'carbenoxolone', 'Glycyrrhizic acid']	6
11-beta-hydroxysteroid dehydrogenase type 2	DHI2	P80365	['(-)-Epigallocatechin gallate', 'curcumin', 'Glycyrrhizic acid', 'carbenoxolone']	4
14-3-3 protein gamma	1433G	P61981	['daunorubicin', 'doxorubicin']	2
17-beta-hydroxysteroid dehydrogenase type 1	DHB1	P14061	['kaempferol', 'genistein', 'estrone', 'endosulfan', 'isoliquiritigenin', 'naringenin', 'apigenin']	7
17-beta-hydroxysteroid dehydrogenase type 2	DHB2	P37059	['curcumin', 'kaempferol', 'genistein', 'isoliquiritigenin', 'quercetin', 'naringenin', 'apigenin', 'rosmarinic acid']	8
17-beta-hydroxysteroid dehydrogenase type 3	DHB3	P37058	['curcumin', 'genistein', 'baicalein', 'apigenin']	4
2-5A-dependent ribonuclease	RN5A	Q05823	['BUTYLPARABEN']	1
26S proteasome regulatory subunit 6B	PRS6B	P43686	['Bortezomib']	1
3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1	3BHS1	P14060	['finasteride']	1
3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase	EBP	Q15125	['CORTICOSTERONE', 'trifluoperazine', 'haloperidol', 'terbinafine', 'testosterone', 'tamoxifen', 'progesterone', 'amiodarone']	8
3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase/7-dehydrocholesterol reductase	EBP	Q15125	['tamoxifen']	1
3-oxo-5-alpha-steroid 4-dehydrogenase 2	S5A2	P31213	['Dutasteride', 'finasteride']	2
3-phosphoinositide-dependent protein kinase 1	PDPK1	O15530	['Lapatinib', 'Imatinib', 'celecoxib', 'Vandetanib', 'Pazopanib', 'Sorafenib', 'SB-203580', 'Canertinib', 'RefChem:560289', 'KW-2449', 'niclosamide']	11
4-aminobutyrate aminotransferase, mitochondrial	GABT	P80404	['Gastrodin', 'baicalein', 'vigabatrin']	3
5'-AMP-activated protein kinase subunit beta-1	AAKB1	Q9Y478	['dorsomorphin']	1
5'-AMP-activated protein kinase subunit beta-1/5'-AMP-activated protein kinase subunit gamma-1/Dual specificity protein kinase CLK2	CLK2	P49760	['dorsomorphin']	1
5'-nucleotidase	5NTD	P21589	['quercetin']	1
5-hydroxytryptamine receptor 1A	5HT1A	P08908	['buspirone', 'Cariprazine', 'amitriptyline']	3
5-hydroxytryptamine receptor 1B	5HT1B	P28222	['Salvinorin A', 'haloperidol', 'rizatriptan', 'pramipexole', 'Ziprasidone', 'amisulpride', '182563-08-2', 'pindolol', 'bromocriptine', 'ropinirole', 'prazosin', 'MDMA', 'venlafaxine', 'pergolide', 'zolmitriptan', 'citalopram', 'quetiapine', 'piribedil', 'sumatriptan', 'apomorphine', 'duloxetine', 'Lasmiditan', 'Paliperidone', 'clomipramine', 'Aripiprazole', 'propranolol', 'oxymetazoline', 'VORTIOXETINE', 'risperidone']	29
5-hydroxytryptamine receptor 1D	5HT1D	P28221	['Salvinorin A', 'haloperidol', 'rizatriptan', 'pramipexole', 'Ziprasidone', 'amisulpride', '182563-08-2', 'pindolol', 'bromocriptine', 'ropinirole', 'prazosin', 'quercetin', 'MDMA', 'venlafaxine', 'pergolide', 'RUTIN', 'zolmitriptan', 'citalopram', 'quetiapine', 'piribedil', 'sumatriptan', 'apomorphine', 'duloxetine', 'pimozide', 'Lasmiditan', 'Paliperidone', 'clomipramine', 'Aripiprazole', 'oxymetazoline', 'risperidone']	30
5-hydroxytryptamine receptor 1E	5HT1E	P28566	['Ziprasidone', 'Paliperidone', 'amisulpride', 'Aripiprazole', 'pindolol', 'Salvinorin A', 'phentolamine', 'quetiapine', 'oxymetazoline', 'haloperidol', 'MDMA', 'sumatriptan', 'venlafaxine', 'risperidone', 'duloxetine', 'pramipexole']	16
5-hydroxytryptamine receptor 1F	5HT1F	P30939	['182563-08-2', 'pindolol', 'quetiapine', 'haloperidol', 'sumatriptan', 'venlafaxine', 'risperidone', 'duloxetine', 'Lasmiditan']	9
5-hydroxytryptamine receptor 2A	5HT2A	P28223	['Cariprazine', 'risperidone', 'Aripiprazole', 'LISURIDE']	4
5-hydroxytryptamine receptor 2A/2B/2C	5HT2A	P28223	['haloperidol', 'quetiapine']	2
5-hydroxytryptamine receptor 2B	5HT2B	P41595	['Salvinorin A', 'ondansetron', 'haloperidol', 'cabergoline', 'buspirone', 'fenfluramine', 'paroxetine', 'Ziprasidone', 'amisulpride', 'azelastine', 'fluoxetine', 'pindolol', 'bromocriptine', 'phentermine', 'ropinirole', 'Lorcaserin', 'MDMA', 'venlafaxine', 'pergolide', 'chlorpheniramine', 'trazodone', 'tranylcypromine', 'Agomelatine', 'quetiapine', 'piribedil', 'sumatriptan', 'Cariprazine', 'apomorphine', 'Dexfenfluramine', 'LISURIDE', 'Sorafenib', 'sibutramine', 'duloxetine', 'Lasmiditan', 'Aripiprazole', 'mianserin', 'propranolol', 'oxymetazoline', 'CYPROHEPTADINE', 'Melatonin', 'risperidone', 'chlorpromazine']	42
